"district","race","party","numberOfCandidates"
"STATE","UNITED STATES SENATOR","LIB","2"
"STATE","UNITED STATES SENATOR","DEM","5"
"STATE","UNITED STATES SENATOR","REP","3"
"1ST CONGRESSIONAL","UNITED STATES REPRESENTATIVE","DEM","4"
"1ST CONGRESSIONAL","UNITED STATES REPRESENTATIVE","REP","4"
"2ND CONGRESSIONAL","UNITED STATES REPRESENTATIVE","DEM","3"
"PUBLIC SERVICE COMMISSIONER DISTRICT 1","PUBLIC SERVICE COMMISSIONER, DISTRICT 1","REP","2"
"PUBLIC SERVICE COMMISSIONER DISTRICT 5","PUBLIC SERVICE COMMISSIONER, DISTRICT 5","REP","3"
"SUPREME COURT JUSTICE","SUPREME COURT JUSTICE #4","NON","2"
"JUDICIAL DISTRICT 7","DISTRICT COURT JUDGE DISTRICT 7, DEPT 2","NON","2"
"SENATE DISTRICT 1","STATE SENATOR DISTRICT 1","REP","3"
"SENATE DISTRICT 8","STATE SENATOR DISTRICT 8","DEM","2"
"SENATE DISTRICT 9","STATE SENATOR DISTRICT 9","REP","2"
"SENATE DISTRICT 10","STATE SENATOR DISTRICT 10","REP","2"
"SENATE DISTRICT 11","STATE SENATOR DISTRICT 11","REP","2"
"SENATE DISTRICT 11","STATE SENATOR DISTRICT 11","DEM","2"
"SENATE DISTRICT 12","STATE SENATOR DISTRICT 12","REP","2"
"SENATE DISTRICT 12","STATE SENATOR DISTRICT 12","DEM","2"
"SENATE DISTRICT 14","STATE SENATOR DISTRICT 14","REP","2"
"SENATE DISTRICT 18","STATE SENATOR DISTRICT 18","REP","2"
"SENATE DISTRICT 19","STATE SENATOR DISTRICT 19","REP","2"
"SENATE DISTRICT 25","STATE SENATOR DISTRICT 25","REP","2"
"SENATE DISTRICT 32","STATE SENATOR DISTRICT 32","DEM","2"
"SENATE DISTRICT 34","STATE SENATOR DISTRICT 34","REP","2"
"SENATE DISTRICT 41","STATE SENATOR DISTRICT 41","DEM","2"
"SENATE DISTRICT 42","STATE SENATOR DISTRICT 42","REP","3"
"SENATE DISTRICT 43","STATE SENATOR DISTRICT 43","REP","2"
"HOUSE DISTRICT 1","STATE REPRESENTATIVE DISTRICT 1","DEM","2"
"HOUSE DISTRICT 3","STATE REPRESENTATIVE DISTRICT 3","REP","2"
"HOUSE DISTRICT 4","STATE REPRESENTATIVE DISTRICT 4","REP","3"
"HOUSE DISTRICT 6","STATE REPRESENTATIVE DISTRICT 6","REP","2"
"HOUSE DISTRICT 7","STATE REPRESENTATIVE DISTRICT 7","REP","2"
"HOUSE DISTRICT 13","STATE REPRESENTATIVE DISTRICT 13","REP","2"
"HOUSE DISTRICT 15","STATE REPRESENTATIVE DISTRICT 15","DEM","2"
"HOUSE DISTRICT 17","STATE REPRESENTATIVE DISTRICT 17","REP","3"
"HOUSE DISTRICT 19","STATE REPRESENTATIVE DISTRICT 19","REP","2"
"HOUSE DISTRICT 20","STATE REPRESENTATIVE DISTRICT 20","REP","2"
"HOUSE DISTRICT 21","STATE REPRESENTATIVE DISTRICT 21","REP","2"
"HOUSE DISTRICT 22","STATE REPRESENTATIVE DISTRICT 22","REP","2"
"HOUSE DISTRICT 23","STATE REPRESENTATIVE DISTRICT 23","REP","2"
"HOUSE DISTRICT 28","STATE REPRESENTATIVE DISTRICT 28","REP","2"
"HOUSE DISTRICT 29","STATE REPRESENTATIVE DISTRICT 29","REP","2"
"HOUSE DISTRICT 29","STATE REPRESENTATIVE DISTRICT 29","DEM","2"
"HOUSE DISTRICT 31","STATE REPRESENTATIVE DISTRICT 31","DEM","2"
"HOUSE DISTRICT 33","STATE REPRESENTATIVE DISTRICT 33","REP","2"
"HOUSE DISTRICT 34","STATE REPRESENTATIVE DISTRICT 34","REP","2"
"HOUSE DISTRICT 36","STATE REPRESENTATIVE DISTRICT 36","REP","2"
"HOUSE DISTRICT 40","STATE REPRESENTATIVE DISTRICT 40","REP","2"
"HOUSE DISTRICT 46","STATE REPRESENTATIVE DISTRICT 46","DEM","2"
"HOUSE DISTRICT 47","STATE REPRESENTATIVE DISTRICT 47","REP","2"
"HOUSE DISTRICT 49","STATE REPRESENTATIVE DISTRICT 49","REP","2"
"HOUSE DISTRICT 51","STATE REPRESENTATIVE DISTRICT 51","REP","2"
"HOUSE DISTRICT 52","STATE REPRESENTATIVE DISTRICT 52","REP","2"
"HOUSE DISTRICT 53","STATE REPRESENTATIVE DISTRICT 53","REP","2"
"HOUSE DISTRICT 55","STATE REPRESENTATIVE DISTRICT 55","REP","2"
"HOUSE DISTRICT 61","STATE REPRESENTATIVE DISTRICT 61","DEM","2"
"HOUSE DISTRICT 67","STATE REPRESENTATIVE DISTRICT 67","REP","2"
"HOUSE DISTRICT 68","STATE REPRESENTATIVE DISTRICT 68","REP","2"
"HOUSE DISTRICT 69","STATE REPRESENTATIVE DISTRICT 69","REP","2"
"HOUSE DISTRICT 76","STATE REPRESENTATIVE DISTRICT 76","REP","2"
"HOUSE DISTRICT 80","STATE REPRESENTATIVE DISTRICT 80","DEM","2"
"HOUSE DISTRICT 81","STATE REPRESENTATIVE DISTRICT 81","DEM","2"
"HOUSE DISTRICT 84","STATE REPRESENTATIVE DISTRICT 84","DEM","2"
"HOUSE DISTRICT 84","STATE REPRESENTATIVE DISTRICT 84","REP","2"
"HOUSE DISTRICT 85","STATE REPRESENTATIVE DISTRICT 85","REP","2"
"HOUSE DISTRICT 86","STATE REPRESENTATIVE DISTRICT 86","REP","2"
"HOUSE DISTRICT 90","STATE REPRESENTATIVE DISTRICT 90","REP","2"
"HOUSE DISTRICT 92","STATE REPRESENTATIVE DISTRICT 92","DEM","2"
"HOUSE DISTRICT 93","STATE REPRESENTATIVE DISTRICT 93","DEM","3"
"HOUSE DISTRICT 94","STATE REPRESENTATIVE DISTRICT 94","DEM","2"
